

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0512 	 0.9612 	 0.9268 	 0.8840 	 0.0702 	 0.6810 	 1.1288 	 1.4926
   2 	 0.0526 	 0.9618 	 0.9278 	 0.8828 	 0.0717 	 0.6813 	 1.1296 	 1.4933
   3 	 0.0503 	 0.9624 	 0.9282 	 0.8850 	 0.0694 	 0.6816 	 1.1304 	 1.4939
   4 	 0.0514 	 0.9621 	 0.9275 	 0.8835 	 0.0710 	 0.6813 	 1.1296 	 1.4934
   5 	 0.0526 	 0.9608 	 0.9280 	 0.8832 	 0.0713 	 0.6813 	 1.1296 	 1.4934
   6 	 0.0505 	 0.9623 	 0.9274 	 0.8850 	 0.0707 	 0.6817 	 1.1298 	 1.4933
   7 	 0.0521 	 0.9619 	 0.9277 	 0.8828 	 0.0714 	 0.6812 	 1.1295 	 1.4933
   8 	 0.0528 	 0.9616 	 0.9275 	 0.8828 	 0.0709 	 0.6810 	 1.1292 	 1.4931
   9 	 0.0507 	 0.9616 	 0.9274 	 0.8847 	 0.0704 	 0.6814 	 1.1295 	 1.4931
  10 	 0.0526 	 0.9619 	 0.9275 	 0.8827 	 0.0713 	 0.6811 	 1.1294 	 1.4932

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0012 	 0.3895 	 0.2224 	 0.0082 	 0.0007 	 0.1077 	 0.2564 	 0.8014
   2 	 0.0103 	 0.3905 	 0.2222 	 0.0083 	 0.0008 	 0.1084 	 0.2589 	 0.8074
   3 	 0.0800 	 0.3908 	 0.2223 	 0.0087 	 0.0008 	 0.1128 	 0.2762 	 0.8488
   4 	 0.2224 	 0.3880 	 0.2225 	 0.0085 	 0.0008 	 0.1212 	 0.3101 	 0.9257
   5 	 0.3909 	 0.3920 	 0.2226 	 0.0085 	 0.0008 	 0.1320 	 0.3527 	 1.0129
   6 	 0.5448 	 0.3913 	 0.2220 	 0.0087 	 0.0009 	 0.1412 	 0.3898 	 1.0840
   7 	 0.6631 	 0.3903 	 0.2224 	 0.0084 	 0.0009 	 0.1483 	 0.4184 	 1.1356
   8 	 0.7311 	 0.3897 	 0.2228 	 0.0087 	 0.0009 	 0.1526 	 0.4351 	 1.1644
   9 	 0.7692 	 0.3909 	 0.2224 	 0.0087 	 0.0009 	 0.1550 	 0.4446 	 1.1807
  10 	 0.7942 	 0.3924 	 0.2214 	 0.0084 	 0.0013 	 0.1564 	 0.4509 	 1.1916

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0129 	 0.3870 	 0.2316 	 0.0092 	 0.0005 	 0.1109 	 0.2634 	 0.8124
   2 	 0.0353 	 0.3861 	 0.2313 	 0.0094 	 0.0005 	 0.1121 	 0.2685 	 0.8252
   3 	 0.0718 	 0.3851 	 0.2313 	 0.0092 	 0.0006 	 0.1142 	 0.2771 	 0.8460
   4 	 0.1286 	 0.3877 	 0.2315 	 0.0092 	 0.0006 	 0.1181 	 0.2920 	 0.8797
   5 	 0.1887 	 0.3864 	 0.2317 	 0.0092 	 0.0006 	 0.1216 	 0.3063 	 0.9120
   6 	 0.2609 	 0.3848 	 0.2311 	 0.0093 	 0.0006 	 0.1257 	 0.3232 	 0.9488
   7 	 0.3383 	 0.3853 	 0.2299 	 0.0091 	 0.0006 	 0.1301 	 0.3416 	 0.9875
   8 	 0.4124 	 0.3867 	 0.2309 	 0.0094 	 0.0007 	 0.1352 	 0.3609 	 1.0249
   9 	 0.4833 	 0.3881 	 0.2315 	 0.0092 	 0.0007 	 0.1398 	 0.3789 	 1.0591
  10 	 0.5469 	 0.3877 	 0.2325 	 0.0094 	 0.0008 	 0.1440 	 0.3949 	 1.0883

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0119 	 0.3965 	 0.2273 	 0.0097 	 0.0007 	 0.1110 	 0.2647 	 0.8160
   2 	 0.0313 	 0.3960 	 0.2286 	 0.0096 	 0.0006 	 0.1124 	 0.2698 	 0.8280
   3 	 0.0484 	 0.3963 	 0.2281 	 0.0097 	 0.0006 	 0.1134 	 0.2740 	 0.8380
   4 	 0.0835 	 0.3962 	 0.2279 	 0.0097 	 0.0007 	 0.1155 	 0.2824 	 0.8580
   5 	 0.1223 	 0.3957 	 0.2283 	 0.0097 	 0.0006 	 0.1179 	 0.2919 	 0.8797
   6 	 0.1688 	 0.3978 	 0.2293 	 0.0099 	 0.0006 	 0.1213 	 0.3046 	 0.9071
   7 	 0.2268 	 0.3965 	 0.2278 	 0.0097 	 0.0007 	 0.1242 	 0.3174 	 0.9362
